ID,Cliente,Compras,Visitas,Monto_Total,Devoluciones,Reseñas,Calificacion_Promedio,Fecha_Primera_Compra,Categoria_Favorita,Tasa_Conversion,Ticket_Promedio,Tasa_Devolucion,Segmento
255,Luis López,32,25,161.22,1,4,4.2,2024-03-29,Electrónica,128.0,5.04,3.12,Regular
256,Ana Martínez,7,66,1379.95,2,2,2.6,2024-03-02,Deportes,10.61,197.14,28.57,Ocasional
257,Juan García,41,10,2731.09,4,1,4.7,2024-08-09,Hogar,410.0,66.61,9.76,Regular
258,Ana Ramírez,33,56,3185.72,4,9,3.1,2024-12-11,Libros,58.93,96.54,12.12,Premium
259,Isabel Rodríguez,40,30,1326.54,0,8,1.6,2024-06-22,Electrónica,133.33,33.16,0.0,Regular
260,Laura Sánchez,39,5,739.81,7,1,3.8,2025-09-08,Libros,780.0,18.97,17.95,Regular
261,Isabel López,18,33,4182.9,7,13,4.2,2024-12-16,Electrónica,54.55,232.38,38.89,Regular
262,José Ramírez,40,65,4922.79,3,10,2.3,2024-04-14,Hogar,61.54,123.07,7.5,Premium
263,José López,1,18,2652.17,6,1,4.4,2025-11-04,Electrónica,5.56,2652.17,600.0,Regular
264,Carlos García,11,96,899.81,9,12,4.6,2024-09-30,Ropa,11.46,81.8,81.82,Ocasional
265,María Sánchez,28,49,1397.92,2,14,2.1,2024-05-24,Hogar,57.14,49.93,7.14,Regular
266,Ana Martínez,25,11,141.03,5,7,4.9,2024-12-23,Deportes,227.27,5.64,20.0,Regular
267,Miguel Ramírez,23,85,4575.78,9,14,1.6,2025-05-03,Libros,27.06,198.95,39.13,Regular
268,Juan Torres,31,26,632.87,9,8,1.8,2026-01-11,Ropa,119.23,20.42,29.03,Regular
269,Ana Rodríguez,30,63,2903.76,8,6,1.7,2024-03-09,Deportes,47.62,96.79,26.67,Regular
270,Laura Martínez,42,89,1406.57,0,2,4.6,2025-01-30,Electrónica,47.19,33.49,0.0,Regular
271,Laura Torres,35,86,2793.18,4,8,3.6,2025-07-06,Ropa,40.7,79.81,11.43,Regular
272,Miguel Flores,7,59,3274.53,3,2,1.6,2024-11-16,Deportes,11.86,467.79,42.86,Regular
273,Carmen Ramírez,16,27,4157.22,7,4,2.8,2024-11-15,Hogar,59.26,259.83,43.75,Regular
274,Isabel Torres,26,49,1071.79,0,8,3.5,2025-06-17,Electrónica,53.06,41.22,0.0,Regular
275,José Torres,48,77,104.43,8,11,1.3,2025-02-07,Deportes,62.34,2.18,16.67,Regular
276,Laura Martínez,49,33,727.58,5,13,4.5,2025-11-04,Electrónica,148.48,14.85,10.2,Regular
277,Laura Ramírez,2,98,4505.09,3,13,4.2,2024-03-13,Deportes,2.04,2252.54,150.0,Regular
278,Luis López,1,99,4375.76,8,2,3.0,2025-02-02,Libros,1.01,4375.76,800.0,Regular
279,Luis Torres,48,1,3007.19,4,6,4.9,2024-08-05,Hogar,4800.0,62.65,8.33,Premium
280,Laura López,12,21,3022.56,4,11,2.7,2024-04-24,Ropa,57.14,251.88,33.33,Regular
281,Luis Ramírez,5,55,3341.93,4,0,4.9,2025-02-11,Deportes,9.09,668.39,80.0,Regular
282,María González,37,6,918.09,0,3,3.7,2025-12-13,Electrónica,616.67,24.81,0.0,Regular
283,Ana González,32,92,4576.34,0,3,3.5,2025-01-02,Hogar,34.78,143.01,0.0,Premium
284,Carmen Pérez,9,81,2122.91,7,6,1.7,2025-05-07,Ropa,11.11,235.88,77.78,Regular
285,Miguel Rodríguez,41,69,1946.54,7,7,4.5,2025-08-03,Electrónica,59.42,47.48,17.07,Regular
286,Carlos Martínez,35,95,2618.64,5,0,2.7,2025-10-11,Hogar,36.84,74.82,14.29,Regular
287,Ana Sánchez,19,5,282.48,3,4,1.6,2024-11-05,Electrónica,380.0,14.87,15.79,Regular
288,Carlos López,48,3,873.1,1,6,1.1,2025-11-12,Hogar,1600.0,18.19,2.08,Regular
289,María Sánchez,16,53,3703.27,1,11,3.2,2024-04-06,Ropa,30.19,231.45,6.25,Regular
290,José Pérez,3,23,459.85,8,3,3.1,2025-07-11,Ropa,13.04,153.28,266.67,Ocasional
291,Miguel Ramírez,20,53,3035.6,4,12,3.9,2024-04-27,Electrónica,37.74,151.78,20.0,Regular
292,José García,24,37,1264.48,3,3,4.6,2024-04-30,Hogar,64.86,52.69,12.5,Regular
293,Ana Sánchez,33,74,1977.01,9,3,1.3,2024-06-12,Deportes,44.59,59.91,27.27,Regular
294,José Flores,24,74,1479.03,0,11,3.9,2026-01-23,Ropa,32.43,61.63,0.0,Regular
295,Juan Flores,11,83,1810.58,6,5,1.7,2025-12-24,Deportes,13.25,164.6,54.55,Regular
296,José Ramírez,49,17,3609.28,2,6,4.4,2025-03-09,Deportes,288.24,73.66,4.08,Premium
297,Juan Pérez,8,85,1520.75,5,1,4.3,2025-06-09,Libros,9.41,190.09,62.5,Regular
298,Luis Sánchez,36,78,2853.7,4,14,3.2,2025-10-08,Electrónica,46.15,79.27,11.11,Regular
299,José Torres,38,73,2406.45,4,4,3.8,2024-07-15,Electrónica,52.05,63.33,10.53,Regular
300,Miguel Flores,40,1,3335.17,4,3,2.3,2025-07-18,Electrónica,4000.0,83.38,10.0,Premium
301,Ana Ramírez,20,51,4687.31,0,14,2.9,2025-12-05,Hogar,39.22,234.37,0.0,Regular
302,Ana González,35,45,3676.23,0,13,4.3,2024-07-26,Ropa,77.78,105.04,0.0,Premium
303,José Ramírez,48,77,1113.95,2,12,2.8,2025-07-16,Ropa,62.34,23.21,4.17,Regular
304,Juan Sánchez,25,4,204.36,9,2,2.4,2024-06-23,Libros,625.0,8.17,36.0,Regular
305,Carmen Sánchez,35,62,1348.21,3,6,3.0,2025-07-07,Libros,56.45,38.52,8.57,Regular
306,Carlos Ramírez,25,65,2995.64,4,10,4.3,2025-06-20,Libros,38.46,119.83,16.0,Regular
307,Carlos Flores,29,32,304.56,1,11,2.3,2025-03-14,Deportes,90.62,10.5,3.45,Regular
308,Miguel García,18,34,2507.01,7,5,1.7,2025-09-15,Electrónica,52.94,139.28,38.89,Regular
309,José Flores,46,92,3004.37,1,13,3.8,2024-06-13,Hogar,50.0,65.31,2.17,Premium
310,Isabel García,18,95,1704.51,8,6,4.3,2026-02-11,Ropa,18.95,94.7,44.44,Regular
311,María Sánchez,2,72,3866.02,1,4,1.4,2025-05-06,Hogar,2.78,1933.01,50.0,Regular
312,Carlos Ramírez,35,39,577.66,8,12,2.0,2025-09-18,Electrónica,89.74,16.5,22.86,Regular
313,Carlos García,16,26,421.93,6,5,1.6,2025-10-03,Electrónica,61.54,26.37,37.5,Regular
314,Luis Sánchez,41,34,3654.53,7,4,2.4,2024-08-09,Ropa,120.59,89.13,17.07,Premium
315,Carmen López,36,54,2502.68,1,13,2.8,2025-06-02,Deportes,66.67,69.52,2.78,Regular
316,Laura Pérez,33,3,3457.59,6,6,4.0,2025-08-19,Libros,1100.0,104.78,18.18,Premium
317,Carmen Sánchez,4,50,2202.4,5,1,3.6,2025-10-24,Deportes,8.0,550.6,125.0,Regular
318,Luis Sánchez,33,12,1269.69,3,13,3.5,2024-04-08,Electrónica,275.0,38.48,9.09,Regular
319,Luis Rodríguez,14,65,4104.56,6,10,2.4,2026-01-18,Electrónica,21.54,293.18,42.86,Regular
320,Laura García,21,54,4007.11,3,4,4.4,2025-10-02,Deportes,38.89,190.81,14.29,Regular
321,Miguel García,48,5,3488.75,1,5,2.9,2026-01-29,Libros,960.0,72.68,2.08,Premium
322,Carmen López,20,94,1397.12,9,5,4.9,2025-02-12,Libros,21.28,69.86,45.0,Regular
323,María García,8,94,2971.64,6,14,3.5,2025-06-15,Electrónica,8.51,371.46,75.0,Regular
324,Juan López,7,57,1836.82,7,4,1.5,2024-06-21,Libros,12.28,262.4,100.0,Regular
325,Ana García,3,17,503.33,1,9,3.7,2025-03-19,Libros,17.65,167.78,33.33,Ocasional
326,Isabel Martínez,17,47,4590.7,4,6,2.3,2026-01-28,Ropa,36.17,270.04,23.53,Regular
327,Ana Martínez,33,23,727.25,0,9,3.7,2025-08-19,Ropa,143.48,22.04,0.0,Regular
328,Laura Rodríguez,48,79,4753.67,6,7,1.3,2025-05-18,Hogar,60.76,99.03,12.5,Premium
329,Isabel López,12,85,2257.73,7,6,1.7,2025-12-22,Deportes,14.12,188.14,58.33,Regular
330,Laura González,22,14,966.41,5,4,4.4,2025-10-07,Electrónica,157.14,43.93,22.73,Regular
331,Carmen Martínez,22,66,2732.41,4,0,1.9,2024-12-09,Libros,33.33,124.2,18.18,Regular
332,Isabel Flores,46,75,4371.08,5,12,4.3,2024-08-24,Hogar,61.33,95.02,10.87,Premium
333,María Martínez,30,51,3674.51,1,4,2.1,2025-10-20,Ropa,58.82,122.48,3.33,Regular
334,Luis Rodríguez,38,38,4042.48,0,9,3.6,2025-12-10,Libros,100.0,106.38,0.0,Premium
335,Isabel García,38,64,3310.98,6,1,3.8,2024-10-14,Deportes,59.38,87.13,15.79,Premium
336,Luis Flores,45,98,3476.77,6,12,3.1,2024-11-11,Ropa,45.92,77.26,13.33,Premium
337,José Sánchez,8,38,4253.52,9,4,2.2,2025-02-08,Electrónica,21.05,531.69,112.5,Regular
338,Ana Rodríguez,27,50,1285.86,9,4,1.9,2024-09-06,Libros,54.0,47.62,33.33,Regular
339,Isabel López,27,98,2472.65,1,1,1.1,2024-06-16,Hogar,27.55,91.58,3.7,Regular
340,María González,34,82,1144.99,1,4,2.2,2025-10-25,Electrónica,41.46,33.68,2.94,Regular
341,Isabel Rodríguez,21,30,4938.96,0,12,3.6,2024-11-08,Libros,70.0,235.19,0.0,Regular
342,Isabel García,30,79,4723.09,9,3,4.8,2024-09-16,Libros,37.97,157.44,30.0,Regular
343,Carmen Torres,33,91,245.16,7,0,4.5,2025-07-02,Libros,36.26,7.43,21.21,Regular
344,José Pérez,28,51,3542.6,7,2,4.1,2024-05-25,Libros,54.9,126.52,25.0,Regular
345,María Torres,47,63,4629.98,0,0,4.2,2025-12-31,Libros,74.6,98.51,0.0,Premium
346,Carmen García,33,98,943.85,7,11,3.7,2024-04-10,Electrónica,33.67,28.6,21.21,Regular
347,José Ramírez,5,52,2861.33,8,10,2.0,2024-08-29,Deportes,9.62,572.27,160.0,Regular
348,María Sánchez,48,38,4581.67,3,14,4.6,2025-04-11,Deportes,126.32,95.45,6.25,Premium
349,Carmen Ramírez,19,97,218.03,0,4,3.7,2024-11-01,Electrónica,19.59,11.48,0.0,Regular
350,Carlos Sánchez,4,88,3502.23,0,3,3.2,2024-04-26,Deportes,4.55,875.56,0.0,Regular
351,Carlos Torres,35,79,1521.88,2,6,1.4,2026-01-13,Hogar,44.3,43.48,5.71,Regular
352,Luis Flores,49,30,4625.76,4,4,2.8,2025-12-13,Hogar,163.33,94.4,8.16,Premium
353,Miguel Ramírez,17,51,4856.74,4,9,2.8,2024-10-11,Electrónica,33.33,285.69,23.53,Regular
354,Laura Sánchez,44,81,4724.12,8,13,4.5,2024-12-29,Hogar,54.32,107.37,18.18,Premium
355,Isabel González,28,5,2397.36,9,3,3.2,2024-12-04,Electrónica,560.0,85.62,32.14,Regular
356,Carmen López,30,29,4317.11,1,1,2.5,2024-03-13,Hogar,103.45,143.9,3.33,Regular
357,María González,29,4,4230.52,1,3,4.9,2025-10-26,Ropa,725.0,145.88,3.45,Regular
358,Laura López,46,10,1629.55,5,11,1.4,2024-09-29,Electrónica,460.0,35.42,10.87,Regular
359,Laura Flores,6,56,4153.13,8,1,2.7,2024-02-15,Libros,10.71,692.19,133.33,Regular
360,Isabel Sánchez,35,17,233.19,0,7,1.2,2024-11-16,Hogar,205.88,6.66,0.0,Regular
361,Carmen García,41,74,3001.54,8,2,4.0,2025-11-30,Ropa,55.41,73.21,19.51,Premium
362,Laura Pérez,37,17,1188.54,8,8,4.7,2025-11-23,Electrónica,217.65,32.12,21.62,Regular
363,Carlos Ramírez,24,84,646.81,8,12,2.1,2025-03-21,Hogar,28.57,26.95,33.33,Regular
364,Ana Pérez,29,88,430.92,4,3,4.4,2024-06-01,Libros,32.95,14.86,13.79,Regular
365,Luis Pérez,49,69,3496.63,8,12,2.2,2025-09-15,Hogar,71.01,71.36,16.33,Premium
366,Luis Flores,46,34,1732.38,3,5,4.6,2025-12-08,Ropa,135.29,37.66,6.52,Regular
367,Luis Torres,31,6,3637.6,1,9,4.0,2025-10-07,Deportes,516.67,117.34,3.23,Premium
368,Juan Torres,35,53,373.51,5,4,4.2,2025-05-08,Deportes,66.04,10.67,14.29,Regular
369,Ana Rodríguez,33,66,1610.69,3,9,1.1,2024-05-15,Ropa,50.0,48.81,9.09,Regular
370,Ana Sánchez,21,77,2720.48,5,12,4.9,2024-05-06,Ropa,27.27,129.55,23.81,Regular
371,Laura Torres,32,43,3964.08,2,0,3.9,2024-06-24,Electrónica,74.42,123.88,6.25,Premium
372,Ana Ramírez,23,75,1627.82,5,8,2.2,2024-08-01,Deportes,30.67,70.77,21.74,Regular
373,Laura Ramírez,33,23,3148.16,1,0,4.3,2024-02-15,Electrónica,143.48,95.4,3.03,Premium
374,Juan Rodríguez,3,55,4435.59,1,7,2.1,2025-03-18,Hogar,5.45,1478.53,33.33,Regular
375,Luis López,18,80,3098.52,8,8,4.5,2025-01-19,Ropa,22.5,172.14,44.44,Regular
376,José López,25,95,1203.15,6,8,1.5,2024-06-12,Electrónica,26.32,48.13,24.0,Regular
377,Luis Flores,42,75,170.78,2,0,3.8,2024-08-19,Ropa,56.0,4.07,4.76,Regular
378,Carmen Ramírez,31,16,4356.99,0,1,3.2,2025-04-18,Electrónica,193.75,140.55,0.0,Premium
379,Miguel Torres,3,8,155.28,7,11,1.4,2024-11-06,Hogar,37.5,51.76,233.33,Ocasional
380,Carmen Sánchez,40,4,4379.77,5,12,2.0,2024-09-14,Hogar,1000.0,109.49,12.5,Premium
381,Miguel Pérez,46,4,2668.24,6,0,1.0,2024-06-04,Libros,1150.0,58.01,13.04,Regular
382,Carmen Ramírez,24,56,4698.39,8,9,2.9,2024-11-30,Deportes,42.86,195.77,33.33,Regular
383,Luis González,32,25,4003.98,4,1,2.2,2025-11-04,Libros,128.0,125.12,12.5,Premium
384,Luis López,47,67,4989.77,0,9,3.4,2024-02-26,Deportes,70.15,106.17,0.0,Premium
385,María López,22,96,1786.02,9,11,2.2,2025-10-19,Hogar,22.92,81.18,40.91,Regular
386,Carmen Rodríguez,23,67,3847.58,6,7,2.2,2024-04-14,Electrónica,34.33,167.29,26.09,Regular
387,Miguel Martínez,2,27,2039.56,4,4,4.0,2024-04-18,Ropa,7.41,1019.78,200.0,Regular
388,Ana López,27,93,2425.38,2,11,1.2,2024-07-29,Hogar,29.03,89.83,7.41,Regular
389,Laura González,42,32,3156.15,8,10,4.6,2025-07-08,Hogar,131.25,75.15,19.05,Premium
390,Isabel Torres,2,50,4374.7,0,6,4.4,2024-11-30,Electrónica,4.0,2187.35,0.0,Regular
391,Isabel González,26,61,4921.21,0,1,3.7,2024-11-08,Hogar,42.62,189.28,0.0,Regular
392,María López,17,51,3852.95,0,7,3.4,2025-06-25,Hogar,33.33,226.64,0.0,Regular
393,Luis López,40,19,2117.95,2,10,4.6,2024-12-17,Electrónica,210.53,52.95,5.0,Regular
394,Carmen Martínez,33,21,2135.72,5,5,1.7,2025-03-03,Hogar,157.14,64.72,15.15,Regular
395,Luis García,9,5,3701.03,9,7,1.3,2024-11-06,Deportes,180.0,411.23,100.0,Regular
396,Miguel Martínez,43,82,1231.95,2,0,2.0,2025-01-01,Deportes,52.44,28.65,4.65,Regular
397,Luis García,48,92,596.85,7,14,4.2,2024-12-15,Deportes,52.17,12.43,14.58,Regular
398,Juan Torres,39,42,1805.38,9,0,1.1,2025-11-08,Deportes,92.86,46.29,23.08,Regular
399,Luis Martínez,29,61,1471.83,1,11,3.3,2025-03-30,Hogar,47.54,50.75,3.45,Regular
400,Laura Rodríguez,42,22,1516.73,8,6,5.0,2024-12-03,Ropa,190.91,36.11,19.05,Regular
401,Juan Flores,26,21,1206.36,2,7,4.4,2025-03-30,Deportes,123.81,46.4,7.69,Regular
402,Luis Ramírez,35,70,258.36,4,12,3.1,2024-04-03,Deportes,50.0,7.38,11.43,Regular
403,Laura Ramírez,25,1,138.48,9,2,1.3,2025-05-28,Hogar,2500.0,5.54,36.0,Regular
404,Carmen Martínez,24,5,4939.23,7,4,4.3,2025-01-26,Libros,480.0,205.8,29.17,Regular
405,Juan González,13,12,2167.48,1,11,3.4,2025-09-10,Hogar,108.33,166.73,7.69,Regular
406,Laura Rodríguez,7,90,1952.42,5,0,1.5,2024-03-12,Electrónica,7.78,278.92,71.43,Regular
407,María Sánchez,36,46,3414.25,4,6,1.4,2024-10-16,Deportes,78.26,94.84,11.11,Premium
408,Laura Rodríguez,45,34,1130.36,9,4,4.6,2025-12-07,Electrónica,132.35,25.12,20.0,Regular
409,Isabel García,20,49,4752.31,8,7,3.7,2025-11-12,Deportes,40.82,237.62,40.0,Regular
410,Carlos Martínez,1,78,3942.41,4,12,4.3,2025-11-18,Libros,1.28,3942.41,400.0,Regular
411,Isabel González,8,90,492.58,1,7,4.5,2025-11-10,Ropa,8.89,61.57,12.5,Ocasional
412,María López,46,45,2117.02,4,8,3.3,2024-11-28,Libros,102.22,46.02,8.7,Regular
413,María Torres,16,27,4401.64,3,6,3.1,2025-11-07,Hogar,59.26,275.1,18.75,Regular
414,José Flores,14,73,4726.42,6,10,2.7,2025-01-28,Hogar,19.18,337.6,42.86,Regular
415,Isabel Flores,12,26,2363.64,5,0,2.3,2025-10-03,Electrónica,46.15,196.97,41.67,Regular
416,Ana Torres,23,47,3086.39,1,12,2.7,2024-07-24,Electrónica,48.94,134.19,4.35,Regular
417,José Ramírez,15,86,876.82,4,2,4.1,2025-12-14,Hogar,17.44,58.45,26.67,Ocasional
418,Laura González,28,56,4956.28,6,7,3.4,2024-06-23,Hogar,50.0,177.01,21.43,Regular
419,Isabel Sánchez,34,94,1196.77,6,2,4.6,2024-07-18,Hogar,36.17,35.2,17.65,Regular
420,Luis Flores,2,63,4716.52,4,7,2.8,2024-07-18,Deportes,3.17,2358.26,200.0,Regular
421,Isabel García,32,48,3265.75,8,0,3.4,2025-03-13,Libros,66.67,102.05,25.0,Premium
422,Isabel Rodríguez,23,61,3058.3,3,4,3.5,2024-03-29,Deportes,37.7,132.97,13.04,Regular
423,Ana López,22,81,2587.81,2,3,3.4,2025-10-11,Ropa,27.16,117.63,9.09,Regular
424,Luis Rodríguez,25,26,1191.82,3,4,3.8,2024-12-20,Deportes,96.15,47.67,12.0,Regular
425,Carlos López,22,36,923.81,4,7,1.9,2025-02-16,Hogar,61.11,41.99,18.18,Regular
426,Carlos Torres,22,1,1141.41,5,9,3.0,2024-04-03,Deportes,2200.0,51.88,22.73,Regular
427,María Martínez,49,8,972.87,2,14,1.4,2024-12-07,Electrónica,612.5,19.85,4.08,Regular
428,Juan Sánchez,42,99,3908.94,1,13,2.5,2025-12-23,Hogar,42.42,93.07,2.38,Premium
429,Laura Flores,6,52,1783.12,3,3,3.0,2025-04-25,Libros,11.54,297.19,50.0,Regular
430,Laura González,15,79,336.32,4,10,3.6,2024-06-09,Deportes,18.99,22.42,26.67,Ocasional
431,Juan López,43,47,4847.06,3,3,4.8,2025-03-31,Hogar,91.49,112.72,6.98,Premium
432,Luis González,37,56,4424.74,2,14,3.4,2025-02-18,Electrónica,66.07,119.59,5.41,Premium
433,Laura Rodríguez,33,86,4642.37,7,2,4.0,2025-10-30,Electrónica,38.37,140.68,21.21,Premium
434,Ana González,8,14,4974.79,9,6,3.0,2024-07-02,Deportes,57.14,621.85,112.5,Regular
435,Isabel López,44,90,910.78,3,2,3.5,2024-09-12,Hogar,48.89,20.7,6.82,Regular
436,José Rodríguez,44,28,2011.4,1,11,1.3,2025-07-11,Libros,157.14,45.71,2.27,Regular
437,Miguel López,5,87,3803.28,1,2,2.0,2025-09-08,Ropa,5.75,760.66,20.0,Regular
438,Carlos González,39,78,3495.3,0,10,2.4,2024-04-12,Electrónica,50.0,89.62,0.0,Premium
439,Carlos Rodríguez,4,88,811.78,3,9,2.9,2024-10-08,Ropa,4.55,202.94,75.0,Ocasional
440,Juan Martínez,6,2,4088.37,9,4,1.2,2025-06-29,Libros,300.0,681.4,150.0,Regular
441,Luis Flores,45,26,1160.98,8,4,1.6,2025-10-26,Deportes,173.08,25.8,17.78,Regular
442,Isabel González,32,14,1157.9,6,13,2.1,2025-02-20,Electrónica,228.57,36.18,18.75,Regular
443,Laura Rodríguez,30,59,2708.02,9,5,4.9,2024-07-24,Ropa,50.85,90.27,30.0,Regular
444,Laura González,47,56,2985.05,6,7,2.3,2025-02-02,Electrónica,83.93,63.51,12.77,Regular
445,José González,35,7,2921.43,6,9,2.9,2025-10-19,Ropa,500.0,83.47,17.14,Regular
446,Miguel Torres,40,3,502.86,7,5,1.8,2025-05-04,Hogar,1333.33,12.57,17.5,Regular
447,Laura Ramírez,16,23,4393.43,0,14,3.4,2024-07-06,Hogar,69.57,274.59,0.0,Regular
448,María Flores,13,18,1364.72,9,11,2.1,2025-06-27,Deportes,72.22,104.98,69.23,Ocasional
449,Juan Sánchez,42,38,691.1,9,0,1.8,2024-12-01,Libros,110.53,16.45,21.43,Regular
450,Carmen Flores,30,99,4449.3,7,14,3.1,2024-07-19,Electrónica,30.3,148.31,23.33,Regular
451,Luis García,19,15,4780.47,3,7,1.0,2024-05-18,Libros,126.67,251.6,15.79,Regular
452,María López,17,64,4317.53,3,7,1.0,2024-05-26,Ropa,26.56,253.97,17.65,Regular
453,Isabel Flores,19,89,4057.1,3,8,1.9,2024-03-24,Deportes,21.35,213.53,15.79,Regular
454,Juan González,28,28,3293.45,5,8,1.1,2024-04-26,Hogar,100.0,117.62,17.86,Regular
455,Isabel García,26,74,2776.74,6,1,1.4,2024-07-23,Hogar,35.14,106.8,23.08,Regular
456,Carlos Ramírez,37,39,480.58,5,14,2.4,2026-01-18,Deportes,94.87,12.99,13.51,Regular
457,Miguel Ramírez,26,57,2071.84,0,1,4.2,2024-05-31,Electrónica,45.61,79.69,0.0,Regular
458,Luis Martínez,23,17,1894.81,7,2,3.3,2024-04-11,Libros,135.29,82.38,30.43,Regular
459,Isabel Sánchez,9,86,1335.78,9,0,3.1,2024-03-05,Ropa,10.47,148.42,100.0,Ocasional
460,Laura Rodríguez,12,90,3630.93,6,3,2.2,2025-05-16,Libros,13.33,302.58,50.0,Regular
461,Laura Pérez,1,44,2504.58,5,13,4.7,2026-01-15,Hogar,2.27,2504.58,500.0,Regular
462,José Pérez,1,25,451.18,5,3,2.6,2025-08-13,Deportes,4.0,451.18,500.0,Ocasional
463,Carmen Rodríguez,47,17,1139.91,4,13,1.3,2025-05-10,Hogar,276.47,24.25,8.51,Regular
464,Carlos Pérez,34,13,3432.13,5,8,3.5,2024-02-25,Hogar,261.54,100.94,14.71,Premium
465,José Ramírez,32,84,426.85,8,8,1.5,2025-04-03,Ropa,38.1,13.34,25.0,Regular
466,Luis Sánchez,48,25,4263.47,9,8,2.4,2025-03-03,Electrónica,192.0,88.82,18.75,Premium
467,Miguel García,25,68,2500.98,8,9,3.0,2025-02-19,Electrónica,36.76,100.04,32.0,Regular
468,Laura Rodríguez,40,10,2428.9,9,6,4.5,2026-02-07,Ropa,400.0,60.72,22.5,Regular
469,Carmen González,45,67,2982.42,7,13,3.0,2025-08-12,Deportes,67.16,66.28,15.56,Regular
470,Carmen Rodríguez,1,18,4132.17,9,14,3.8,2025-09-20,Libros,5.56,4132.17,900.0,Regular
471,José Torres,16,86,1771.66,8,1,5.0,2024-07-14,Deportes,18.6,110.73,50.0,Regular
472,Juan Torres,39,34,3406.18,9,9,1.5,2024-04-11,Libros,114.71,87.34,23.08,Premium
473,Laura Sánchez,5,8,2850.37,7,4,2.1,2024-12-30,Electrónica,62.5,570.07,140.0,Regular
474,Juan López,22,40,1371.79,7,3,2.6,2025-12-04,Hogar,55.0,62.35,31.82,Regular
475,Miguel Pérez,29,83,4399.22,0,11,2.7,2025-09-21,Hogar,34.94,151.7,0.0,Regular
476,Isabel Ramírez,3,42,3997.26,9,10,2.6,2024-05-06,Deportes,7.14,1332.42,300.0,Regular
477,Laura García,12,41,3309.34,4,7,4.6,2026-01-13,Ropa,29.27,275.78,33.33,Regular
478,Ana González,26,6,4260.38,3,1,3.9,2025-11-12,Libros,433.33,163.86,11.54,Regular
479,Miguel Martínez,16,52,4343.11,1,5,3.4,2024-08-19,Hogar,30.77,271.44,6.25,Regular
480,Luis Ramírez,37,26,3556.4,7,12,2.2,2025-07-08,Deportes,142.31,96.12,18.92,Premium
481,Laura Rodríguez,22,64,4193.22,2,4,4.3,2025-01-24,Ropa,34.38,190.6,9.09,Regular
482,Juan Flores,29,98,3502.48,3,14,4.8,2024-12-11,Electrónica,29.59,120.78,10.34,Regular
483,Ana Martínez,14,59,3416.7,6,11,4.3,2024-11-06,Ropa,23.73,244.05,42.86,Regular
484,Luis Torres,28,56,3112.13,9,1,1.0,2025-03-01,Electrónica,50.0,111.15,32.14,Regular
485,Juan Torres,5,59,3775.95,8,10,3.5,2025-09-05,Deportes,8.47,755.19,160.0,Regular
486,José Rodríguez,47,70,835.1,1,9,1.2,2025-01-31,Ropa,67.14,17.77,2.13,Regular
487,Ana Rodríguez,49,33,4410.31,2,14,2.0,2025-03-31,Deportes,148.48,90.01,4.08,Premium
488,Laura Rodríguez,30,53,4365.63,3,0,1.2,2025-03-18,Electrónica,56.6,145.52,10.0,Regular
489,Carlos Ramírez,46,22,194.77,9,7,3.4,2024-07-12,Hogar,209.09,4.23,19.57,Regular
490,Luis Torres,5,21,4137.79,0,1,3.7,2024-06-13,Hogar,23.81,827.56,0.0,Regular
491,Luis Sánchez,12,70,687.91,6,6,1.5,2025-11-19,Electrónica,17.14,57.33,50.0,Ocasional
492,Laura Ramírez,16,70,1708.84,1,8,2.5,2025-12-22,Libros,22.86,106.8,6.25,Regular
493,Ana Ramírez,26,4,3730.37,4,8,2.8,2025-09-07,Libros,650.0,143.48,15.38,Regular
494,Miguel Martínez,26,94,845.76,0,7,2.5,2025-09-05,Hogar,27.66,32.53,0.0,Regular
495,José López,48,75,4098.94,2,10,1.5,2024-05-22,Hogar,64.0,85.39,4.17,Premium
496,Isabel Torres,21,62,4169.06,1,13,2.7,2025-12-25,Ropa,33.87,198.53,4.76,Regular
497,Carlos Rodríguez,39,62,2561.97,0,11,4.0,2024-03-25,Ropa,62.9,65.69,0.0,Regular
498,Luis Sánchez,36,94,81.61,6,9,1.3,2025-11-22,Hogar,38.3,2.27,16.67,Regular
499,Carmen Torres,33,95,1470.84,4,8,1.3,2025-05-11,Libros,34.74,44.57,12.12,Regular
500,Luis García,30,24,3103.79,0,1,2.4,2024-11-17,Ropa,125.0,103.46,0.0,Regular
